IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
5,9,793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
5,8,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,TRUE
7,47,241,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,7,1,1,0,0,5,1,2,0,1,0,1,1,0,0,4,0,2,0,0,1,0,4,0,0,TRUE
2,47,241,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,7,2,2,0,0,5,1,2,0,1,0,1,1,0,0,4,0,2,0,0,1,0,4,0,0,TRUE
16,23,139,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,FALSE
1,4,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,194,3034,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
1,206,3314,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
1,206,3314,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
1,206,3314,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
