IP_LOC,Method_LOC,File_LOC,Var_Type,Var_Property,Var_Init,Def_C_IP,Def_C_Other,Def_C_If,Def_C_For,Def_C_While,Def_V_IP,Def_V_Other,Def_V_If,Def_V_For,Def_V_While,Def_Lib_IP,Def_Lib_Other,Def_Lib_If,Def_Lib_For,Def_Lib_While,Def_User_IP,Def_User_Other,Def_User_If,Def_User_For,Def_User_While,Use_V_IP,Use_V_Other,Use_V_If,Use_V_For,Use_V_While,Use_Lib_IP,Use_Lib_Other,Use_Lib_If,Use_Lib_For,Use_Lib_While,Use_User_IP,Use_User_Other,Use_User_If,Use_User_For,Use_User_While,Use_If_IP,Use_If_Other,Use_For_IP,Use_For_Other,Use_While_IP,Use_While_Other,Defect
16,38,613,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,4,3,1,0,0,1,1,0,0,1,2,1,0,0,2,5,0,1,0,0,TRUE
2,15,237,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
4,33,2803,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,TRUE
63,400,2803,1,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,1,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,TRUE
36,37,178,1,0,0,0,2,0,0,0,1,3,0,0,0,0,4,3,0,0,0,3,0,0,0,3,7,0,0,0,0,5,3,0,0,0,3,0,0,0,0,3,0,0,0,1,FALSE
4,4,71,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
35,46,423,0,1,0,0,0,0,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
39,46,423,0,1,0,0,0,0,0,0,6,13,15,0,0,0,0,0,0,0,0,0,0,0,0,9,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
19,46,423,0,1,0,0,0,0,0,0,8,14,0,0,18,0,0,0,0,0,0,0,0,0,0,7,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
36,46,423,0,1,0,0,0,0,0,0,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
18,46,423,0,1,0,0,0,0,0,0,6,13,0,0,15,0,0,0,0,0,0,0,0,0,0,7,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
38,46,423,0,1,0,0,0,0,0,0,6,11,13,0,0,0,0,0,0,0,0,0,0,0,0,6,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
33,46,423,0,1,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
34,46,423,0,1,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FALSE
17,46,423,0,1,0,0,0,0,0,0,5,11,0,0,12,0,0,0,0,0,0,0,0,0,0,4,18,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
16,46,423,0,1,0,0,0,0,0,0,5,8,0,0,9,0,0,0,0,0,0,0,0,0,0,3,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
20,46,423,0,1,0,0,0,0,0,0,8,17,0,0,21,0,0,0,0,0,0,0,0,0,0,8,26,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
15,46,423,0,1,0,0,0,0,0,0,3,7,0,0,6,0,0,0,0,0,0,0,0,0,0,3,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
42,51,423,0,1,0,0,2,0,1,0,4,8,5,3,0,0,3,0,3,0,0,0,0,0,0,3,13,7,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
46,51,423,0,1,0,0,2,0,1,0,6,14,13,3,0,0,3,0,3,0,0,0,0,0,0,9,19,19,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
26,51,423,0,1,0,0,2,0,1,0,8,14,0,18,0,0,3,0,3,0,0,0,0,0,0,7,26,0,29,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
43,51,423,0,1,0,0,2,0,1,0,4,10,7,3,0,0,3,0,3,0,0,0,0,0,0,6,13,10,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
25,51,423,0,1,0,0,2,0,1,0,6,13,0,15,0,0,3,0,3,0,0,0,0,0,0,7,22,0,25,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
45,51,423,0,1,0,0,2,0,1,0,6,12,11,3,0,0,3,0,3,0,0,0,0,0,0,6,19,16,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
40,51,423,0,1,0,0,2,0,1,0,2,6,1,3,0,0,3,0,3,0,0,0,0,0,0,3,7,3,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
41,51,423,0,1,0,0,2,0,1,0,4,6,3,3,0,0,3,0,3,0,0,0,0,0,0,3,9,3,6,0,0,15,0,15,0,0,0,0,0,0,0,9,0,1,0,0,FALSE
24,51,423,0,1,0,0,2,0,1,0,5,11,0,12,0,0,3,0,3,0,0,0,0,0,0,4,21,0,21,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
23,51,423,0,1,0,0,2,0,1,0,5,8,0,9,0,0,3,0,3,0,0,0,0,0,0,3,18,0,17,0,0,15,0,15,0,0,0,0,0,0,0,8,0,1,0,0,FALSE
