IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
26,189,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
27,189,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
28,189,0,6,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
29,189,0,7,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
45,189,0,13,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,FALSE
63,189,0,16,5,0,0,5,0,0,0,0,1,5,4,0,0,3,0,0,FALSE
82,189,0,18,9,0,0,7,0,0,0,0,2,9,8,0,0,6,0,0,FALSE
83,189,0,18,10,0,0,7,0,0,0,1,2,9,8,0,0,6,0,0,FALSE
101,189,0,20,13,0,0,9,0,0,0,1,3,13,12,0,0,9,0,0,FALSE
102,189,0,20,14,0,0,9,0,0,0,2,3,13,12,0,0,9,0,0,FALSE
139,189,0,24,16,0,1,10,0,0,0,2,4,13,13,0,0,12,0,0,FALSE
144,189,0,24,17,0,1,10,0,0,0,4,4,13,13,0,0,12,0,0,FALSE
145,189,0,24,18,0,1,10,0,0,0,6,4,13,13,0,0,12,0,0,FALSE
147,189,0,24,19,0,1,10,0,0,0,8,4,13,13,0,0,13,0,0,FALSE
149,189,0,24,20,0,1,10,0,0,0,10,4,13,13,0,0,13,0,0,FALSE
170,189,0,24,25,0,1,12,0,0,0,11,4,15,13,0,0,14,0,0,FALSE
24,127,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,FALSE
1,62,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,40,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
35,42,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
3,42,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,TRUE
9,58,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE
15,58,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,FALSE
17,58,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,FALSE
57,110,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
74,110,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,TRUE
29,98,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,TRUE
30,98,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,TRUE
29,43,2,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,FALSE
34,43,2,0,0,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,FALSE
35,43,2,0,0,0,1,0,1,0,0,0,0,4,1,0,0,1,0,0,FALSE
10,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,TRUE
10,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
6,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
7,17,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
4,12,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,TRUE
297,352,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,1,0,0,TRUE
12,146,2,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,FALSE
82,146,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,FALSE
86,146,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,2,0,0,FALSE
94,146,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,3,0,0,FALSE
98,146,0,0,0,0,0,2,0,0,0,0,4,0,4,0,0,4,0,0,FALSE
139,146,2,6,16,0,3,28,1,0,0,0,0,2,1,0,0,4,0,0,FALSE
1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
8,217,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,TRUE
36,115,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,TRUE
45,115,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,TRUE
75,115,0,0,0,0,2,0,0,0,0,1,3,0,2,0,0,2,0,0,TRUE
45,90,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,FALSE
1,90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
68,90,0,0,0,0,0,1,0,0,0,0,2,13,1,0,1,1,0,1,FALSE
135,228,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,TRUE
35,155,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
255,283,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,TRUE
4,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
