IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
3,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
12,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
12,14,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,FALSE
2,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,FALSE
220,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
221,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
222,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
6,47,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,TRUE
3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
36,49,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,TRUE
53,69,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,TRUE
2,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
8,15,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,TRUE
8,15,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,TRUE
9,55,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
9,55,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,FALSE
3,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,TRUE
10,20,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,FALSE
197,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE
