IP_LOC,Method_LOC,Var_Init,Def_C,Def_V,Def_Null,Def_Lib,Def_User,Def_If,Def_For,Def_While,Use_V,Use_Lib,Use_User,Use_If,Use_For,Use_While,If_Con,For_Con,While_Con,Defect
58,222,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,TRUE
59,222,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,1,0,0,TRUE
65,222,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,1,0,0,TRUE
1,50,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
75,172,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,TRUE
89,172,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,TRUE
106,172,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
144,172,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,TRUE
1,166,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,117,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
4,83,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
27,77,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,TRUE
39,77,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,TRUE
39,77,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE
47,77,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,TRUE
40,77,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,TRUE
44,77,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE
51,77,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,TRUE
45,77,0,0,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,TRUE
61,77,0,3,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,TRUE
1,20,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
1,96,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
1,114,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,114,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE
8,46,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
10,46,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,FALSE
20,46,0,0,2,0,0,0,0,0,0,3,0,1,3,0,0,3,0,1,FALSE
21,46,0,0,3,0,0,0,0,0,0,3,0,1,3,0,0,3,0,1,FALSE
42,46,1,1,1,10,0,0,0,0,0,1,0,12,1,0,0,3,0,0,TRUE
43,46,1,1,1,10,0,0,0,0,0,1,0,13,1,0,0,3,0,0,TRUE
94,284,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,TRUE
177,284,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,TRUE
182,284,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,TRUE
1,286,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,286,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,TRUE
242,286,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,TRUE
1,102,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
4,26,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,FALSE
5,26,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,FALSE
8,52,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,FALSE
12,52,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,3,0,0,FALSE
11,52,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,3,0,0,FALSE
14,52,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,FALSE
15,52,0,0,1,0,0,0,0,0,0,1,0,5,3,0,0,4,0,0,FALSE
17,52,0,0,1,0,0,0,0,0,0,2,0,5,3,0,0,4,0,0,FALSE
19,52,0,0,1,0,0,0,0,0,0,2,0,5,4,0,0,5,0,0,FALSE
21,52,0,0,2,0,0,0,0,0,0,3,0,6,4,0,0,5,0,0,FALSE
31,52,0,0,3,0,0,0,0,0,0,3,0,6,6,0,0,8,0,1,FALSE
34,52,0,0,3,0,0,0,0,0,0,3,0,11,6,0,0,8,0,1,FALSE
37,52,0,0,3,0,0,0,0,0,0,3,0,11,7,0,0,9,0,1,FALSE
38,52,0,0,3,0,0,0,0,0,0,4,0,11,7,0,0,9,0,1,FALSE
40,52,0,0,3,0,0,0,0,0,0,5,0,11,7,0,0,9,0,1,FALSE
42,52,0,0,3,0,0,0,0,0,0,5,0,11,8,0,0,10,0,1,FALSE
44,52,0,0,4,0,0,0,0,0,0,5,0,12,8,0,0,10,0,1,FALSE
1,66,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
1,32,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
10,240,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
54,240,1,0,0,0,0,0,0,0,0,2,5,2,1,0,0,2,0,0,TRUE
427,583,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,5,0,0,TRUE
446,583,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,7,0,0,TRUE
445,583,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,7,0,0,TRUE
144,206,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,3,0,0,TRUE
28,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE
28,97,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,TRUE
