total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
158,58,28,306,393,699,3113,0.01,100,311300,17294.44,56,28,33,24,25,0.19,1.17,7,TRUE
158,58,28,306,393,699,3113,0.01,100,311300,17294.44,56,28,33,24,25,0.19,1.17,7,TRUE
158,58,28,306,393,699,3113,0.01,100,311300,17294.44,56,28,33,24,25,0.19,1.17,7,TRUE
158,58,28,306,393,699,3113,0.01,100,311300,17294.44,56,28,33,24,25,0.19,1.17,7,TRUE
53,33,15,157,169,326,1262,0.03,33.33,42066.67,2337.04,4,2,17,0,3,0.08,0,3,TRUE
27,22,17,71,80,151,553,0.04,25,13825,768.06,2,1,16,0,2,0.09,0,3,TRUE
47,28,18,118,134,252,964,0.03,33.33,32133.33,1785.19,4,2,18,0,3,0.08,0,3,TRUE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
189,99,29,516,629,1145,5555,0.01,100,555500,30861.11,76,38,57,34,30,0.18,1.12,6,FALSE
127,40,26,318,389,707,2962,0.01,100,296200,16455.56,38,19,29,11,17,0.16,1.73,6,FALSE
42,35,17,98,118,216,853,0.04,25,21325,1184.72,10,5,11,2,6,0.19,2.5,1,TRUE
42,35,17,98,118,216,853,0.04,25,21325,1184.72,10,5,11,2,6,0.19,2.5,1,TRUE
58,32,21,131,138,269,1068,0.02,50,53400,2966.67,10,5,16,2,6,0.12,2.5,4,FALSE
58,32,21,131,138,269,1068,0.02,50,53400,2966.67,10,5,16,2,6,0.12,2.5,4,FALSE
58,32,21,131,138,269,1068,0.02,50,53400,2966.67,10,5,16,2,6,0.12,2.5,4,FALSE
110,43,28,246,299,545,2323,0.01,100,232300,12905.56,28,14,15,8,14,0.18,1.75,4,TRUE
110,43,28,246,299,545,2323,0.01,100,232300,12905.56,28,14,15,8,14,0.18,1.75,4,TRUE
98,42,29,310,370,680,2898,0.01,100,289800,16100,26,13,15,5,14,0.16,2.6,2,TRUE
98,42,29,310,370,680,2898,0.01,100,289800,16100,26,13,15,5,14,0.16,2.6,2,TRUE
43,37,18,84,95,179,717,0.05,20,14340,796.67,12,6,9,5,6,0.21,1.2,4,FALSE
43,37,18,84,95,179,717,0.05,20,14340,796.67,12,6,9,5,6,0.21,1.2,4,FALSE
43,37,18,84,95,179,717,0.05,20,14340,796.67,12,6,9,5,6,0.21,1.2,4,FALSE
15,13,14,34,42,76,250,0.05,20,5000,277.78,4,2,1,1,3,0.23,2,4,TRUE
15,13,14,34,42,76,250,0.05,20,5000,277.78,4,2,1,1,3,0.23,2,4,TRUE
15,13,14,34,42,76,250,0.05,20,5000,277.78,4,2,1,1,3,0.23,2,4,TRUE
15,13,14,34,42,76,250,0.05,20,5000,277.78,4,2,1,1,3,0.23,2,4,TRUE
17,16,13,43,46,89,299,0.06,16.67,4983.33,276.85,2,1,4,0,2,0.13,0,3,TRUE
17,16,13,43,46,89,299,0.06,16.67,4983.33,276.85,2,1,4,0,2,0.13,0,3,TRUE
17,16,13,45,48,93,313,0.05,20,6260,347.78,2,1,4,0,2,0.13,0,3,TRUE
12,13,9,21,25,46,142,0.14,7.14,1014.29,56.35,2,1,4,1,2,0.18,1,2,TRUE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
146,132,15,327,388,715,3568,0.05,20,71360,3964.44,58,29,61,29,22,0.17,1,2,FALSE
15,12,11,29,46,75,235,0.08,12.5,2937.5,163.19,2,1,2,0,2,0.14,0,2,TRUE
15,12,11,29,46,75,235,0.08,12.5,2937.5,163.19,2,1,2,0,2,0.14,0,2,TRUE
217,132,26,398,579,977,4946,0.03,33.33,164866.67,9159.26,90,45,56,43,35,0.19,1.05,9,TRUE
115,40,23,213,280,493,2042,0.02,50,102100,5672.22,42,21,16,17,16,0.16,1.24,4,TRUE
115,40,23,213,280,493,2042,0.02,50,102100,5672.22,42,21,16,17,16,0.16,1.24,4,TRUE
115,40,23,213,280,493,2042,0.02,50,102100,5672.22,42,21,16,17,16,0.16,1.24,4,TRUE
90,65,22,207,273,480,2143,0.03,33.33,71433.33,3968.52,36,18,30,15,16,0.2,1.2,4,FALSE
90,65,22,207,273,480,2143,0.03,33.33,71433.33,3968.52,36,18,30,15,16,0.2,1.2,4,FALSE
90,65,22,207,273,480,2143,0.03,33.33,71433.33,3968.52,36,18,30,15,16,0.2,1.2,4,FALSE
90,65,22,207,273,480,2143,0.03,33.33,71433.33,3968.52,36,18,30,15,16,0.2,1.2,4,FALSE
228,49,29,327,507,834,3633,0.01,100,363300,20183.33,96,48,5,24,40,0.21,2,3,TRUE
155,47,27,317,399,716,3081,0.01,100,308100,17116.67,70,35,7,32,31,0.26,1.09,2,TRUE
283,77,29,525,655,1180,5502,0.01,100,550200,30566.67,104,52,24,47,46,0.21,1.11,3,TRUE
11,11,8,21,25,46,135,0.13,7.69,1038.46,57.69,0,0,2,0,1,0.1,0,4,TRUE
