total_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_time,branch_count,decision_count,call_pairs,condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,formal_parameters,Defect
71,38,22,100,143,243,994,0.03,33.33,33133.33,1840.74,18,9,8,7,10,0.18,1.29,2,TRUE
71,38,22,100,143,243,994,0.03,33.33,33133.33,1840.74,18,9,8,7,10,0.18,1.29,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
254,83,30,491,652,1143,5403,0.01,100,540300,30016.67,72,36,39,32,32,0.15,1.13,2,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
317,126,32,570,725,1295,6556,0.01,100,655600,36422.22,90,45,40,42,38,0.14,1.07,7,TRUE
